Split,Method,Class,Accuracy,Precision,Recall,F1_Score
80:10:10,Original,Iris-setosa,0.9333333333333333,0.6666666666666666,1.0,0.8
80:10:10,Original,Iris-versicolor,0.9333333333333333,1.0,0.8,0.888888888888889
80:10:10,Original,Iris-virginica,0.9333333333333333,1.0,1.0,1.0
80:10:10,Simple Oversampling,Iris-setosa,0.9333333333333333,0.6666666666666666,1.0,0.8
80:10:10,Simple Oversampling,Iris-versicolor,0.9333333333333333,1.0,0.8,0.888888888888889
80:10:10,Simple Oversampling,Iris-virginica,0.9333333333333333,1.0,1.0,1.0
80:10:10,SMOTE Strategy A,Iris-setosa,0.9333333333333333,0.6666666666666666,1.0,0.8
80:10:10,SMOTE Strategy A,Iris-versicolor,0.9333333333333333,1.0,0.8,0.888888888888889
80:10:10,SMOTE Strategy A,Iris-virginica,0.9333333333333333,1.0,1.0,1.0
80:10:10,SMOTE Strategy B,Iris-setosa,0.9333333333333333,0.6666666666666666,1.0,0.8
80:10:10,SMOTE Strategy B,Iris-versicolor,0.9333333333333333,1.0,0.8,0.888888888888889
80:10:10,SMOTE Strategy B,Iris-virginica,0.9333333333333333,1.0,1.0,1.0
70:15:15,Original,Iris-setosa,0.9565217391304348,0.875,1.0,0.9333333333333333
70:15:15,Original,Iris-versicolor,0.9565217391304348,1.0,0.875,0.9333333333333333
70:15:15,Original,Iris-virginica,0.9565217391304348,1.0,1.0,1.0
70:15:15,Simple Oversampling,Iris-setosa,1.0,1.0,1.0,1.0
70:15:15,Simple Oversampling,Iris-versicolor,1.0,1.0,1.0,1.0
70:15:15,Simple Oversampling,Iris-virginica,1.0,1.0,1.0,1.0
70:15:15,SMOTE Strategy A,Iris-setosa,1.0,1.0,1.0,1.0
70:15:15,SMOTE Strategy A,Iris-versicolor,1.0,1.0,1.0,1.0
70:15:15,SMOTE Strategy A,Iris-virginica,1.0,1.0,1.0,1.0
70:15:15,SMOTE Strategy B,Iris-setosa,1.0,1.0,1.0,1.0
70:15:15,SMOTE Strategy B,Iris-versicolor,1.0,1.0,1.0,1.0
70:15:15,SMOTE Strategy B,Iris-virginica,1.0,1.0,1.0,1.0
